campaign_id,campaign_name,channel,channel_category,target_audience,target_region,ad_spend_usd,impressions,clicks,click_through_rate_pct,leads_generated,cost_per_lead_usd,mql_qualified_leads,sql_sales_opportunities,pipeline_created_usd,conversions,revenue_generated_usd,return_on_ad_spend,customer_acquisition_cost_usd,roi_pct,start_date,end_date,campaign_status
CAMP-2024-00001,Cloud Cost Optimization 40% - Q2 2024 [Phase 2],Google Search Ads - Enterprise Intent,Paid Search,FinTech Chief Information Security Officers (CISO),Western Europe,16100.0,65679,2417,3.68,152,105.92,103,46,393738.94,20,106099.0,6.59,805.0,559.0,2024-01-14,2024-02-16,Completed
CAMP-2024-00002,Unified Customer 360 AI - Q3 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,Fortune 500 CTOs & VP Infrastructure,Western Europe,16200.0,50979,989,1.94,74,218.92,35,17,479359.62,6,109350.0,6.75,2700.0,575.0,2024-12-01,2025-02-13,Completed
CAMP-2024-00003,Edge AI for Smart Robotics - Q4 2024 [Phase 1],YouTube Deep-Dive Tech Architecture,Video Marketing,Cloud Native DevOps & SRE Architects,Western Europe,87200.0,257655,7472,2.9,928,93.97,435,205,3459590.78,90,897288.0,10.29,968.89,929.0,2024-05-16,2024-07-05,Completed
CAMP-2024-00004,High-Throughput Streaming Engine - Q1 2024 [Phase 2],Programmatic Account-Based Display (ABM),ABM Display,Global AI/ML Research Scientists,Middle East,44500.0,268083,3217,1.2,264,168.56,193,48,627406.98,10,189570.0,4.26,4450.0,326.0,2025-08-15,2025-10-13,Completed
CAMP-2024-00005,Next-Gen Lakehouse Migration - Q2 2024 [Phase 3],Google Search Ads - Enterprise Intent,Paid Search,FinTech Chief Information Security Officers (CISO),Middle East,60200.0,220536,6572,2.98,509,118.27,372,119,2099322.98,24,587552.0,9.76,2508.33,876.0,2026-06-14,2026-09-07,Active
CAMP-2024-00006,GenAI Enterprise Copilot Accelerator - Q3 2024 [Phase 1],Gartner & Forrester Summit Sponsorships,Events & Conferences,Cloud Native DevOps & SRE Architects,Latin America,61100.0,298333,4833,1.62,189,323.28,75,21,1217741.45,7,354991.0,5.81,8728.57,481.0,2024-12-12,2025-01-28,Completed
CAMP-2024-00007,Cloud Cost Optimization 40% - Q4 2024 [Phase 2],Technical SEO & Pillar Blog Content,Organic Content,Global AI/ML Research Scientists,Western Europe,36300.0,30782,2281,7.41,954,38.05,525,194,1756485.58,54,567006.0,15.62,672.22,1462.0,2026-05-27,2026-06-16,Completed
CAMP-2024-00008,Edge AI for Smart Robotics - Q1 2024 [Phase 3],Developer Hackathons & Open Source Grants,Community,Global AI/ML Research Scientists,Western Europe,5000.0,6744,375,5.56,153,32.68,98,30,297012.63,9,103300.0,20.66,555.56,1966.0,2025-12-10,2025-12-25,Completed
CAMP-2024-00009,High-Throughput Streaming Engine - Q2 2024 [Phase 1],Developer Hackathons & Open Source Grants,Community,Fortune 500 CTOs & VP Infrastructure,Global Multi-Region,77400.0,468163,28043,5.99,2302,33.62,1292,325,3794847.3,116,1067346.0,13.79,667.24,1279.0,2025-05-26,2025-07-10,Completed
CAMP-2024-00010,Quantum-Safe Cryptography Suite - Q3 2024 [Phase 2],Regional Strategic Partner Co-Marketing,Partner Co-Op,Cloud Native DevOps & SRE Architects,Latin America,69500.0,94179,4191,4.45,1017,68.34,479,257,3638151.33,108,891685.0,12.83,643.52,1183.0,2024-07-14,2024-07-31,Completed
CAMP-2024-00011,Kubernetes Multi-Cloud Mesh - Q4 2024 [Phase 3],LinkedIn B2B Sponsored Content & InMail,Paid Social,Global AI/ML Research Scientists,North America,74400.0,158199,4920,3.11,324,229.63,217,78,1332670.5,27,502200.0,6.75,2755.56,575.0,2024-12-09,2024-12-29,Completed
CAMP-2024-00012,Kubernetes Multi-Cloud Mesh - Q1 2024 [Phase 1],YouTube Deep-Dive Tech Architecture,Video Marketing,Cloud Native DevOps & SRE Architects,ANZ,8900.0,22032,683,3.1,86,103.49,45,12,444574.25,2,95230.0,10.7,4450.0,970.0,2024-08-23,2024-11-19,Completed
CAMP-2024-00013,Kubernetes Multi-Cloud Mesh - Q2 2024 [Phase 2],Technical SEO & Pillar Blog Content,Organic Content,Retail E-Commerce Engineering Directors,Latin America,95000.0,167360,9322,5.57,3403,27.92,1980,1083,11910996.91,446,2604900.0,27.42,213.0,2642.0,2024-10-21,2024-12-10,Completed
CAMP-2024-00014,Kubernetes Multi-Cloud Mesh - Q3 2024 [Phase 3],Technical SEO & Pillar Blog Content,Organic Content,Cloud Native DevOps & SRE Architects,APAC (Japan/Taiwan/SG),76900.0,143426,10212,7.12,2615,29.41,1749,791,8377723.56,221,2380824.0,30.96,347.96,2996.0,2026-03-20,2026-06-02,Completed
CAMP-2024-00015,Real-Time Telemetry at Scale - Q4 2024 [Phase 1],Gartner & Forrester Summit Sponsorships,Events & Conferences,Fortune 500 CTOs & VP Infrastructure,North America,45500.0,446467,8974,2.01,156,291.67,75,22,981082.9,6,197470.0,4.34,7583.33,334.0,2024-10-18,2024-11-18,Completed
CAMP-2024-00016,GenAI Enterprise Copilot Accelerator - Q1 2024 [Phase 2],Gartner & Forrester Summit Sponsorships,Events & Conferences,FinTech Chief Information Security Officers (CISO),North America,40900.0,157323,3115,1.98,99,413.13,46,12,895220.08,4,220042.0,5.38,10225.0,438.0,2026-01-14,2026-03-19,Completed
CAMP-2024-00017,High-Throughput Streaming Engine - Q2 2024 [Phase 3],Virtual Tech Demos & Hands-on Webinars,Owned Events,Enterprise Data Engineering Leads,Middle East,20300.0,125444,5783,4.61,352,57.67,142,67,540426.57,13,165242.0,8.14,1561.54,714.0,2025-08-09,2025-09-05,Completed
CAMP-2024-00018,Edge AI for Smart Robotics - Q3 2024 [Phase 1],LinkedIn B2B Sponsored Content & InMail,Paid Social,SMB Growth Tech Founders,Global Multi-Region,19700.0,127445,3492,2.74,95,207.37,58,16,645340.1,6,214927.0,10.91,3283.33,991.0,2025-07-16,2025-08-12,Completed
CAMP-2024-00019,Automated Compliance & SOC2 - Q4 2024 [Phase 2],LinkedIn B2B Sponsored Content & InMail,Paid Social,Enterprise Data Engineering Leads,Middle East,4000.0,31379,728,2.32,17,235.29,7,3,159435.59,1,47000.0,11.75,4000.0,1075.0,2024-03-26,2024-04-17,Completed
CAMP-2024-00020,High-Throughput Streaming Engine - Q1 2024 [Phase 3],Regional Strategic Partner Co-Marketing,Partner Co-Op,Enterprise Data Engineering Leads,ANZ,13000.0,98402,3080,3.13,271,47.97,190,87,404296.77,27,149760.0,11.52,481.48,1052.0,2025-06-18,2025-08-17,Completed
CAMP-2024-00021,GenAI Enterprise Copilot Accelerator - Q2 2024 [Phase 1],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,FinTech Chief Information Security Officers (CISO),ANZ,21100.0,65848,2173,3.3,251,84.06,112,44,777484.27,17,279153.0,13.23,1241.18,1223.0,2024-08-04,2024-10-02,Completed
CAMP-2024-00022,Next-Gen Lakehouse Migration - Q3 2024 [Phase 2],Google Search Ads - Enterprise Intent,Paid Search,Global AI/ML Research Scientists,Global Multi-Region,46600.0,246390,6554,2.66,392,118.88,183,84,959303.2,36,299638.0,6.43,1294.44,543.0,2025-11-12,2026-01-08,Completed
CAMP-2024-00023,Kubernetes Multi-Cloud Mesh - Q4 2024 [Phase 3],Google Search Ads - Enterprise Intent,Paid Search,SMB Growth Tech Founders,APAC (Japan/Taiwan/SG),78000.0,439182,11287,2.57,506,154.15,299,141,1863585.1,43,711360.0,9.12,1813.95,812.0,2026-06-17,2026-07-24,Completed
CAMP-2024-00024,GenAI Enterprise Copilot Accelerator - Q1 2024 [Phase 1],Google Search Ads - Enterprise Intent,Paid Search,SMB Growth Tech Founders,North America,25900.0,55310,2135,3.86,185,140.0,109,50,988868.94,9,279720.0,10.8,2877.78,980.0,2026-01-11,2026-02-27,Completed
CAMP-2024-00025,Zero-Trust Perimeter Defense - Q2 2024 [Phase 2],Tech Podcast Host-Read Sponsorship,Audio & Podcasts,Fortune 500 CTOs & VP Infrastructure,North America,87300.0,174795,7691,4.4,1189,73.42,798,345,4078645.31,135,1252755.0,14.35,646.67,1335.0,2026-03-29,2026-05-12,Completed
