customer_id,company_name,industry,company_size,headquarters_country,subscription_tier,contract_type,mrr_usd,arr_usd,contract_length_months,tenure_months,nps_score,csat_score,monthly_active_users,license_utilization_pct,support_tickets_count,critical_escalations,avg_resolution_time_hrs,product_usage_hours_per_week,feature_adoption_depth,last_login_days_ago,executive_sponsor_engaged,churn_risk_score,churn_risk_level,account_status
CUST-SAAS-00001,Nexus Group B,Healthcare & BioTech,5000+ Enterprise,Germany,Custom Strategic,Monthly Flexible,59896.14,718753.68,24,29,7,4.7,4097,89.6,8,0,9.4,159.3,Core Functional,3,Yes,0.16,Low,Active - Healthy
CUST-SAAS-00002,Vertex Biomedical C,Media & Entertainment,1000-5000 Employees,Australia,Professional,Annual Pre-Paid,5419.66,65035.92,24,30,5,3.1,146,29.6,24,4,59.9,20.9,Full API Mesh & Automation,19,No,0.87,Critical,Under Review
CUST-SAAS-00003,Quantum Solutions D,Healthcare & BioTech,201-1000 Employees,Taiwan,Custom Strategic,Monthly Flexible,37313.61,447763.32,36,47,3,3.3,2177,30.7,11,1,62.7,11.6,Core Functional,26,No,0.86,Critical,Under Review
CUST-SAAS-00004,Hyperion Robotics E,Manufacturing & Robotics,5000+ Enterprise,Japan,Startup Tier,Monthly Flexible,3176.84,38122.08,12,14,10,4.3,63,89.8,0,0,5.6,95.9,Basic Exploratory,6,Yes,0.34,Medium,Active - Healthy
CUST-SAAS-00005,Aegis Security F,SaaS & Enterprise Cloud,1000-5000 Employees,France,Professional,Annual Pre-Paid,3183.99,38207.88,12,44,8,4.4,289,93.7,3,0,2.3,91.5,Basic Exploratory,2,Yes,0.07,Low,Active - Healthy
CUST-SAAS-00006,Cobalt Dynamics G,Professional Services & Legal,51-200 Employees,Australia,Startup Tier,Monthly Flexible,1591.59,19099.08,12,18,3,1.3,38,41.9,31,2,51.8,3.9,Core Functional,71,No,0.72,High,Active - At Risk
CUST-SAAS-00007,Starlight Analytics H,FinTech & Banking,10-50 Employees,France,Startup Tier,Monthly Flexible,2471.66,29659.92,12,42,4,1.9,61,52.5,22,5,53.4,20.2,Full API Mesh & Automation,80,No,0.79,High,Under Review
CUST-SAAS-00008,Titan Industries I,Government & Public Sector,5000+ Enterprise,United States,Enterprise Plus,Multi-Year 3-Yr Strategic,26667.31,320007.72,12,32,3,2.4,368,42.6,21,3,71.4,10.2,Full API Mesh & Automation,26,No,0.66,High,Active - At Risk
CUST-SAAS-00009,Lumina Systems J,Healthcare & BioTech,1000-5000 Employees,Japan,Enterprise Plus,Monthly Flexible,25369.84,304438.08,12,13,8,4.6,985,77.6,5,0,6.2,69.0,Full API Mesh & Automation,6,Yes,0.23,Low,Active - Healthy
CUST-SAAS-00010,Omni Ventures K,SaaS & Enterprise Cloud,1000-5000 Employees,France,Startup Tier,Annual Pre-Paid,2177.5,26130.0,12,34,7,4.4,37,87.5,2,0,2.7,73.0,Full API Mesh & Automation,0,Yes,0.17,Low,Active - Healthy
CUST-SAAS-00011,Solaris Logistics L,Telecom & 5G,51-200 Employees,Switzerland,Professional,Annual Pre-Paid,5528.61,66343.32,12,59,2,1.4,255,44.9,27,5,39.8,15.3,Core Functional,19,No,0.64,High,Churned
CUST-SAAS-00012,Prism Global M,Government & Public Sector,201-1000 Employees,Taiwan,Enterprise Plus,Quarterly Invoiced,18566.92,222803.04,24,58,8,4.7,1012,100.0,8,0,2.8,110.0,Core Functional,4,Yes,0.1,Low,Active - Healthy
CUST-SAAS-00013,Vanguard Digital N,E-Commerce & Retail,201-1000 Employees,Singapore,Startup Tier,Monthly Flexible,2740.93,32891.16,12,54,8,4.3,18,95.8,1,0,10.4,166.9,Core Functional,4,Yes,0.33,Medium,Active - Healthy
CUST-SAAS-00014,Horizon Enterprises O,Healthcare & BioTech,51-200 Employees,Japan,Custom Strategic,Annual Pre-Paid,33506.0,402072.0,48,15,9,4.4,3737,80.8,1,0,9.1,119.9,Core Functional,5,Yes,0.13,Low,Active - Healthy
CUST-SAAS-00015,Strata Networks P,FinTech & Banking,5000+ Enterprise,Japan,Startup Tier,Monthly Flexible,2234.76,26817.12,12,43,7,4.7,76,78.4,6,0,4.7,164.1,Basic Exploratory,7,Yes,0.12,Low,Active - Healthy
CUST-SAAS-00016,Aero Software Q,Energy & CleanTech,5000+ Enterprise,Netherlands,Professional,Annual Pre-Paid,5995.86,71950.32,12,42,7,4.4,208,79.8,8,0,10.7,74.1,Basic Exploratory,7,Yes,0.17,Low,Active - Healthy
CUST-SAAS-00017,Pulse Capital R,Logistics & Supply Chain,51-200 Employees,United Kingdom,Custom Strategic,Multi-Year 3-Yr Strategic,74462.87,893554.44,24,59,2,2.6,6286,42.3,28,2,59.3,23.7,Basic Exploratory,26,No,0.91,Critical,Active - At Risk
CUST-SAAS-00018,Terra Labs S,Media & Entertainment,51-200 Employees,Germany,Professional,Monthly Flexible,5032.36,60388.32,12,58,9,4.3,88,78.9,2,0,11.7,162.8,Basic Exploratory,4,Yes,0.37,Medium,In Renewal Discussion
CUST-SAAS-00019,Cygnus Cloud T,E-Commerce & Retail,201-1000 Employees,Japan,Enterprise Plus,Annual Pre-Paid,22256.43,267077.16,24,27,7,4.1,1049,75.2,8,0,2.2,90.4,Deep Advanced,4,Yes,0.31,Medium,Active - Healthy
CUST-SAAS-00020,Novus Technologies U,Healthcare & BioTech,201-1000 Employees,Australia,Enterprise Plus,Multi-Year 3-Yr Strategic,20798.95,249587.4,36,58,1,1.9,283,45.6,34,2,38.4,9.5,Full API Mesh & Automation,25,No,0.8,Critical,Active - At Risk
CUST-SAAS-00021,Polaris Group V,Healthcare & BioTech,10-50 Employees,United States,Professional,Quarterly Invoiced,5491.65,65899.8,24,48,8,4.0,132,90.0,2,0,5.5,96.5,Deep Advanced,6,Yes,0.3,Medium,Active - Healthy
CUST-SAAS-00022,Echo Biomedical W,SaaS & Enterprise Cloud,51-200 Employees,France,Custom Strategic,Annual Pre-Paid,64807.68,777692.16,24,41,8,4.6,1035,78.2,0,0,9.8,150.8,Core Functional,4,Yes,0.26,Medium,Active - Healthy
CUST-SAAS-00023,Synthetix Solutions X,Manufacturing & Robotics,10-50 Employees,Canada,Custom Strategic,Multi-Year 3-Yr Strategic,60867.11,730405.32,24,27,3,2.7,2713,28.4,25,5,35.0,7.5,Full API Mesh & Automation,40,No,0.96,Critical,Churned
CUST-SAAS-00024,Vector Robotics Y,Government & Public Sector,201-1000 Employees,United States,Custom Strategic,Quarterly Invoiced,81835.48,982025.76,24,16,8,4.4,2828,83.5,2,0,5.1,105.7,Deep Advanced,3,Yes,0.32,Medium,Active - Healthy
CUST-SAAS-00025,Zion Security Z,E-Commerce & Retail,5000+ Enterprise,Switzerland,Enterprise Plus,Quarterly Invoiced,25703.62,308443.44,24,16,10,4.3,166,83.2,3,0,2.5,161.4,Basic Exploratory,6,Yes,0.11,Low,Active - Healthy
CUST-SAAS-00026,Aura Dynamics A,Energy & CleanTech,5000+ Enterprise,Japan,Startup Tier,Annual Pre-Paid,2628.85,31546.2,12,18,5,3.3,53,42.0,14,3,71.3,19.0,Deep Advanced,65,No,0.78,High,Churned
CUST-SAAS-00027,Boreal Analytics B,Logistics & Supply Chain,10-50 Employees,Canada,Startup Tier,Monthly Flexible,2480.67,29768.04,12,56,10,4.6,12,75.7,1,0,8.0,167.6,Deep Advanced,1,Yes,0.29,Medium,Active - Healthy
CUST-SAAS-00028,Crest Industries C,Logistics & Supply Chain,10-50 Employees,Singapore,Custom Strategic,Monthly Flexible,83048.85,996586.2,36,47,9,4.1,4040,91.6,8,0,1.7,57.9,Core Functional,7,Yes,0.11,Low,Active - Healthy
CUST-SAAS-00029,Dynasty Systems D,SaaS & Enterprise Cloud,201-1000 Employees,Japan,Enterprise Plus,Monthly Flexible,19934.19,239210.28,24,57,9,4.3,188,87.1,0,0,9.7,100.2,Core Functional,3,Yes,0.13,Low,Active - Healthy
CUST-SAAS-00030,Apex Ventures E,Manufacturing & Robotics,51-200 Employees,France,Custom Strategic,Annual Pre-Paid,58014.02,696168.24,48,38,3,3.0,4899,53.5,11,3,70.0,21.4,Full API Mesh & Automation,56,Yes,0.93,Critical,Under Review
CUST-SAAS-00031,Nexus Logistics F,Media & Entertainment,51-200 Employees,Canada,Enterprise Plus,Annual Pre-Paid,20954.52,251454.24,12,37,10,4.9,738,75.5,0,0,3.6,114.1,Basic Exploratory,3,Yes,0.32,Medium,Active - Healthy
CUST-SAAS-00032,Vertex Global G,Healthcare & BioTech,51-200 Employees,Australia,Custom Strategic,Quarterly Invoiced,30884.14,370609.68,48,14,3,2.6,5812,42.3,24,3,31.1,22.0,Core Functional,76,No,0.89,Critical,Active - At Risk
CUST-SAAS-00033,Quantum Digital H,Media & Entertainment,201-1000 Employees,Canada,Professional,Annual Pre-Paid,9144.8,109737.6,24,17,9,4.2,150,80.8,4,0,9.7,96.0,Core Functional,3,Yes,0.21,Low,Active - Healthy
CUST-SAAS-00034,Hyperion Enterprises I,SaaS & Enterprise Cloud,51-200 Employees,Singapore,Custom Strategic,Monthly Flexible,31214.41,374572.92,48,29,7,4.9,891,79.3,4,0,5.3,107.3,Core Functional,6,Yes,0.17,Low,Active - Healthy
CUST-SAAS-00035,Aegis Networks J,Media & Entertainment,51-200 Employees,Canada,Custom Strategic,Quarterly Invoiced,73763.43,885161.16,48,58,10,4.8,5531,92.1,4,0,11.6,160.9,Deep Advanced,4,Yes,0.25,Medium,Active - Healthy
CUST-SAAS-00036,Cobalt Software K,Energy & CleanTech,201-1000 Employees,Germany,Enterprise Plus,Multi-Year 3-Yr Strategic,17476.38,209716.56,24,57,7,5.0,669,75.6,3,0,6.4,120.3,Basic Exploratory,4,Yes,0.33,Medium,Active - Healthy
CUST-SAAS-00037,Starlight Capital L,Logistics & Supply Chain,1000-5000 Employees,Australia,Enterprise Plus,Annual Pre-Paid,14854.38,178252.56,24,13,7,4.3,868,94.7,7,0,8.3,73.1,Basic Exploratory,0,Yes,0.25,Medium,Active - Healthy
CUST-SAAS-00038,Titan Labs M,Government & Public Sector,201-1000 Employees,United States,Custom Strategic,Quarterly Invoiced,52889.96,634679.52,48,10,9,4.7,4647,84.1,5,0,11.8,153.1,Core Functional,6,Yes,0.14,Low,Active - Healthy
CUST-SAAS-00039,Lumina Cloud N,SaaS & Enterprise Cloud,51-200 Employees,Canada,Custom Strategic,Annual Pre-Paid,69190.85,830290.2,48,56,9,4.5,610,95.6,1,0,9.2,155.0,Full API Mesh & Automation,5,Yes,0.05,Low,Active - Healthy
CUST-SAAS-00040,Omni Technologies O,Telecom & 5G,10-50 Employees,United Kingdom,Startup Tier,Quarterly Invoiced,2005.72,24068.64,12,51,10,4.4,67,87.8,4,0,6.4,102.4,Full API Mesh & Automation,1,Yes,0.3,Medium,Active - Healthy
