order_id,order_date,fiscal_year,fiscal_quarter,customer_id,customer_name,account_tier,industry,region,country,sales_channel,product_category,product_sku,product_name,quantity,unit_price,discount_rate_pct,total_amount,cogs_amount,gross_margin_pct,payment_terms,order_status,sales_rep
ORD-2024-00001,2025-10-16,2025,2025-Q4,CUST-0008,Umbrella Life Sciences,Enterprise Strategic,Pharma,US-East,United States,Online B2B Portal,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,33,15510.0,8.0,470883.6,80379.83,82.93,Quarterly Net 30,Completed,Rachel Green
ORD-2024-00002,2025-03-08,2025,2025-Q1,CUST-0003,Initech Cloud Solutions,Mid-Market,Software,US-East,United States,Direct Field Sales,Database Infrastructure,SKU-DB-880,QuantumDB Distributed Cluster,16,15180.0,8.0,223449.6,47840.56,78.59,Quarterly Net 30,Completed,Elena Rostova
ORD-2024-00003,2025-04-04,2025,2025-Q2,CUST-0018,Virtucon Industries,Enterprise Strategic,Industrial Equipment,APAC-East,South Korea,Direct Field Sales,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,94,8544.0,13.0,698728.32,190613.09,72.72,Net 90,Completed,Sarah Chen
ORD-2024-00004,2025-01-24,2025,2025-Q1,CUST-0007,Tyrell Synthetic Dynamics,Enterprise Strategic,Robotics,EU-West,France,Online B2B Portal,Cybersecurity Suite,SKU-SEC-410,Compliance & Audit Vault,38,7488.0,21.0,224789.76,57793.45,74.29,Annual Pre-Paid,Completed,Michael Chang
ORD-2024-00005,2024-10-27,2024,2024-Q4,CUST-0024,Aperture Quantum Lab,Mid-Market,Research & Quantum,APAC-East,Taiwan,Strategic Reseller Partner,AI Platform,SKU-AI-9001,Neural Fabric GenAI Platform,4,25792.0,10.0,92851.2,11253.57,87.88,Net 60,Completed,Jessica Taylor
ORD-2024-00006,2024-10-11,2024,2024-Q4,CUST-0030,Sartre Software SAS,SMB Growth,Dev Tools,APAC-South,Singapore,Online B2B Portal,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,6,9167.0,3.0,53351.94,12479.02,76.61,Net 30,In Fulfillment,Michael Chang
ORD-2024-00007,2026-01-16,2026,2026-Q1,CUST-0016,Dunder Mifflin Paper & Tech,SMB Growth,Retail & Supplies,US-Central,United States,Global Alliance Partner,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,5,6936.0,8.0,31905.6,8786.8,72.46,Net 90,Completed,Elena Rostova
ORD-2024-00008,2026-04-21,2026,2026-Q2,CUST-0003,Initech Cloud Solutions,Mid-Market,Software,APAC-East,South Korea,Online B2B Portal,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,19,7276.0,1.0,136861.56,37582.18,72.54,Net 90,In Fulfillment,Vikram Patel
ORD-2024-00009,2025-05-26,2025,2025-Q2,CUST-0026,Shinra Electric Power,Enterprise Strategic,Energy & Utilities,MEA,United Arab Emirates,Global Alliance Partner,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,38,9256.0,8.0,323589.76,79894.31,75.31,Quarterly Net 30,Completed,Brian O'Connor
ORD-2024-00010,2025-08-20,2025,2025-Q3,CUST-0026,Shinra Electric Power,Enterprise Strategic,Energy & Utilities,EU-West,France,Strategic Reseller Partner,Cybersecurity Suite,SKU-SEC-402,Zero-Trust Security Perimeter,70,9256.0,15.0,550732.0,121766.85,77.89,Net 60,In Fulfillment,Gabriel Santos
ORD-2024-00011,2025-11-27,2025,2025-Q4,CUST-0028,LexCorp Advanced Metals,Enterprise Strategic,Materials,APAC-East,Taiwan,Direct Field Sales,IoT & Edge Computing,SKU-IOT-330,Edge IoT Fleet Orchestrator,53,6732.0,17.0,296140.68,88812.59,70.01,Quarterly Net 30,Completed,Vikram Patel
