sku_id,product_name,category,warehouse_id,warehouse_location,region,country,current_stock,allocated_stock,available_stock,safety_stock,reorder_point_qty,max_capacity_units,unit_cost_usd,total_inventory_value_usd,supplier_id,supplier_name,supplier_country,supplier_reliability_score,lead_time_days,shipping_method,defect_rate_pct,inventory_turnover_ratio,stock_status,last_audit_date
SKU-HW-01001,High-Density GPU Tensor Server Node v2.0,Compute Servers,WH-LATAM-01,Sao Paulo Distribution,LATAM,Brazil,92,21,71,56,100,363,15371.35,1414164.2,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,9,Air Priority Express,1.98,3.8,Optimal,2026-06-24
SKU-HW-01002,Hardware Security Module (HSM) Vault v3.0,Security Appliances,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,93,49,44,46,71,275,8897.33,827451.69,SUP-US-02,Broadcom Optical Networks,United States,97.8,31,Ground Fleet Line,2.29,3.5,Optimal,2026-02-21
SKU-HW-01003,Redundant Power Distribution Unit 3-Phase v4.0,Power & Cooling,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,844,246,598,275,524,1416,3028.23,2555826.12,SUP-US-01,Supermicro Engineering Lab,United States,95.9,41,Ocean Freight Container,2.37,2.6,Optimal,2026-03-29
SKU-HW-01004,Hardware Security Module (HSM) Vault v1.0,Security Appliances,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,26,18,8,58,106,402,9482.98,246557.48,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,32,Dedicated Rail Cargo,1.51,11.8,Low Stock,2026-03-22
SKU-HW-01005,All-Flash NVMe High-IOPS Array v2.0,Storage Systems,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,27,14,13,73,157,522,14858.79,401187.33,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,9,Ocean Freight Container,2.8,11.5,Critical Shortage,2026-03-29
SKU-HW-01006,100G Single-Mode Optical Transceiver v3.0,Optical Components,WH-EU-01,Frankfurt Euro-Hub,EU-Central,Germany,2261,1066,1195,1069,2308,7176,279.94,632944.34,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,34,Air Priority Express,1.81,4.2,Optimal,2026-02-24
SKU-HW-01007,100G Single-Mode Optical Transceiver v4.0,Optical Components,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,3421,1417,2004,1986,3222,11868,293.83,1005192.43,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,38,Dedicated Rail Cargo,2.52,7.1,Optimal,2026-06-08
SKU-HW-01008,Hardware Security Module (HSM) Vault v1.0,Security Appliances,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,23,15,8,46,67,193,9469.42,217796.66,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,44,Air Priority Express,0.86,6.9,Low Stock,2026-01-15
SKU-HW-01009,Industrial IoT Telemetry Sensor v2.0,Edge Devices,WH-US-02,Virginia Cloud Center,US-East,United States,7869,2842,5027,3872,5685,16210,118.08,929171.52,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,23,Ground Fleet Line,0.41,11.5,Optimal,2026-02-24
SKU-HW-01010,Dense Wavelength Mux Transceiver v3.0,Optical Components,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,8698,2129,6569,1151,2292,9000,728.22,6334057.56,SUP-US-01,Supermicro Engineering Lab,United States,95.9,12,Ocean Freight Container,1.44,12.3,Overstocked,2026-01-03
SKU-HW-01011,Next-Gen Firewall Threat Shield v4.0,Security Appliances,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,533,204,329,170,328,849,5583.8,2976165.4,SUP-JP-01,Murata High-Freq Components,Japan,98.9,6,Ocean Freight Container,2.74,9.7,Optimal,2026-02-24
SKU-HW-01012,All-Flash NVMe High-IOPS Array v1.0,Storage Systems,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,195,24,171,38,74,223,15001.33,2925259.35,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,43,Air Priority Express,2.45,11.7,Overstocked,2026-05-30
SKU-HW-01013,Ultra-Low Latency Spine Router v2.0,Networking Hardware,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,144,79,65,83,153,401,12164.87,1751741.28,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,25,Air Priority Express,1.44,9.8,Optimal,2026-03-19
SKU-HW-01014,Redundant Power Distribution Unit 3-Phase v3.0,Power & Cooling,WH-LATAM-01,Sao Paulo Distribution,LATAM,Brazil,255,78,177,192,274,894,3119.17,795388.35,SUP-US-01,Supermicro Engineering Lab,United States,95.9,13,Ground Fleet Line,3.1,6.4,Optimal,2026-07-17
SKU-HW-01015,100G Single-Mode Optical Transceiver v4.0,Optical Components,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,4099,1327,2772,2408,5154,18102,256.4,1050983.6,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,37,Air Priority Express,3.07,6.1,Optimal,2026-04-03
SKU-HW-01016,Edge AI Gateway Controller v1.0,Edge Devices,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,405,92,313,337,631,2005,1953.75,791268.75,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,21,Ground Fleet Line,2.41,5.4,Optimal,2026-03-08
SKU-HW-01017,Distributed Object Storage Block v2.0,Storage Systems,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,204,91,113,80,117,407,6229.77,1270873.08,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,38,Dedicated Rail Cargo,1.81,4.9,Optimal,2026-02-02
SKU-HW-01018,High-Density GPU Tensor Server Node v3.0,Compute Servers,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,203,93,110,115,213,729,13831.7,2807835.1,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,16,Ocean Freight Container,2.29,4.4,Optimal,2026-03-21
SKU-HW-01019,Liquid-Cooled AI Inference Blade v4.0,Compute Servers,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,825,226,599,135,236,880,8807.95,7266558.75,SUP-US-02,Broadcom Optical Networks,United States,97.8,17,Ocean Freight Container,1.79,6.9,Overstocked,2026-04-15
SKU-HW-01020,Industrial IoT Telemetry Sensor v1.0,Edge Devices,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,9437,1361,8076,1575,3044,10342,131.3,1239078.1,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,23,Ground Fleet Line,0.63,10.3,Overstocked,2026-06-03
SKU-HW-01021,Distributed Object Storage Block v2.0,Storage Systems,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,375,49,326,98,144,438,6788.86,2545822.5,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,19,Dedicated Rail Cargo,2.21,4.8,Overstocked,2026-07-06
SKU-HW-01022,All-Flash NVMe High-IOPS Array v3.0,Storage Systems,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,125,39,86,64,92,295,15624.49,1953061.25,SUP-US-02,Broadcom Optical Networks,United States,97.8,6,Ocean Freight Container,2.03,5.6,Optimal,2026-02-14
SKU-HW-01023,Quantum Optical 800G Core Switch v4.0,Networking Hardware,WH-US-02,Virginia Cloud Center,US-East,United States,272,37,235,46,97,290,19171.62,5214680.64,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,27,Dedicated Rail Cargo,1.06,5.2,Overstocked,2026-01-26
SKU-HW-01024,Edge AI Gateway Controller v1.0,Edge Devices,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,1377,450,927,598,1261,4741,2033.86,2800625.22,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,14,Ground Fleet Line,2.64,9.5,Optimal,2026-07-24
SKU-HW-01025,Distributed Object Storage Block v2.0,Storage Systems,WH-US-01,California Mega-Hub,US-West,United States,278,165,113,184,288,889,7121.53,1979785.34,SUP-US-01,Supermicro Engineering Lab,United States,95.9,37,Dedicated Rail Cargo,2.51,9.2,Optimal,2026-05-29
SKU-HW-01026,Quantum Optical 800G Core Switch v3.0,Networking Hardware,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,200,86,114,65,129,460,19231.47,3846294.0,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,5,Air Priority Express,0.15,9.9,Optimal,2026-03-29
SKU-HW-01027,Hardware Security Module (HSM) Vault v4.0,Security Appliances,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,5,3,2,43,93,334,9963.19,49815.95,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,32,Air Priority Express,3.04,12.7,Critical Shortage,2026-07-15
SKU-HW-01028,Liquid-Cooled AI Inference Blade v1.0,Compute Servers,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,280,78,202,62,109,298,9287.81,2600586.8,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,7,Dedicated Rail Cargo,0.22,10.1,Overstocked,2026-03-17
SKU-HW-01029,Hardware Security Module (HSM) Vault v2.0,Security Appliances,WH-US-01,California Mega-Hub,US-West,United States,107,57,50,39,73,230,10049.19,1075263.33,SUP-JP-01,Murata High-Freq Components,Japan,98.9,8,Dedicated Rail Cargo,1.65,9.4,Optimal,2026-03-31
SKU-HW-01030,Hardware Security Module (HSM) Vault v3.0,Security Appliances,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,102,41,61,41,62,231,10417.94,1062629.88,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,45,Air Priority Express,1.02,11.5,Optimal,2026-05-08
SKU-HW-01031,Liquid-Cooled AI Inference Blade v4.0,Compute Servers,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,177,58,119,126,223,830,9341.21,1653394.17,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,30,Ocean Freight Container,0.47,3.8,Optimal,2026-06-15
SKU-HW-01032,Ultra-Low Latency Spine Router v1.0,Networking Hardware,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,132,27,105,42,79,244,12827.26,1693198.32,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,35,Ground Fleet Line,2.22,5.2,Optimal,2026-07-19
SKU-HW-01033,Direct-to-Chip Liquid Cooling Manifold v2.0,Power & Cooling,WH-MEA-01,Dubai Industrial Port Hub,MEA,United Arab Emirates,1266,331,935,244,458,1354,3969.5,5025387.0,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,16,Dedicated Rail Cargo,0.49,12.8,Overstocked,2026-04-08
SKU-HW-01034,Industrial IoT Telemetry Sensor v3.0,Edge Devices,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,13722,3467,10255,2876,4583,14513,115.32,1582421.04,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,33,Dedicated Rail Cargo,2.66,4.9,Overstocked,2026-04-24
SKU-HW-01035,Liquid-Cooled AI Inference Blade v4.0,Compute Servers,WH-APAC-01,Taipei Logistics Hub,APAC-East,Taiwan,25,21,4,68,130,462,8473.17,211829.25,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,28,Dedicated Rail Cargo,3.17,4.1,Critical Shortage,2026-01-19
SKU-HW-01036,Industrial IoT Telemetry Sensor v1.0,Edge Devices,WH-US-02,Virginia Cloud Center,US-East,United States,5036,1556,3480,2732,4897,13446,126.86,638866.96,SUP-US-02,Broadcom Optical Networks,United States,97.8,18,Ocean Freight Container,1.07,2.6,Optimal,2026-08-07
SKU-HW-01037,Liquid-Cooled AI Inference Blade v2.0,Compute Servers,WH-US-01,California Mega-Hub,US-West,United States,178,54,124,131,238,842,9298.41,1655116.98,SUP-TW-03,Quanta Computer Advanced Server,Taiwan,97.5,8,Air Priority Express,0.33,4.0,Optimal,2026-07-26
SKU-HW-01038,Liquid-Cooled AI Inference Blade v3.0,Compute Servers,WH-LATAM-01,Sao Paulo Distribution,LATAM,Brazil,598,127,471,119,191,637,9600.38,5741027.24,SUP-JP-01,Murata High-Freq Components,Japan,98.9,11,Dedicated Rail Cargo,2.84,4.7,Overstocked,2026-05-09
SKU-HW-01039,High-Density GPU Tensor Server Node v4.0,Compute Servers,WH-US-03,Chicago Central Depot,US-Central,United States,293,114,179,86,175,578,13601.27,3985172.11,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,5,Air Priority Express,2.41,3.0,Optimal,2026-02-16
SKU-HW-01040,Industrial IoT Telemetry Sensor v1.0,Edge Devices,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,5010,1663,3347,3337,5390,15036,134.13,671991.3,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,16,Dedicated Rail Cargo,2.19,3.2,Optimal,2026-02-14
SKU-HW-01041,Edge AI Gateway Controller v2.0,Edge Devices,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,725,412,313,538,878,2729,1921.12,1392812.0,SUP-TW-02,Foxconn Precision Industry,Taiwan,96.8,5,Ground Fleet Line,2.49,4.5,Optimal,2026-04-28
SKU-HW-01042,Quantum Optical 800G Core Switch v3.0,Networking Hardware,WH-US-03,Chicago Central Depot,US-Central,United States,517,94,423,76,163,565,19502.22,10082647.74,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,20,Ocean Freight Container,2.66,6.0,Overstocked,2026-07-07
SKU-HW-01043,All-Flash NVMe High-IOPS Array v4.0,Storage Systems,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,68,32,36,58,121,310,15626.77,1062620.36,SUP-TW-04,Delta Electronics Power Solutions,Taiwan,98.2,37,Dedicated Rail Cargo,1.28,12.5,Optimal,2026-05-09
SKU-HW-01044,High-Density GPU Tensor Server Node v1.0,Compute Servers,WH-US-03,Chicago Central Depot,US-Central,United States,102,48,54,45,96,262,14017.08,1429742.16,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,29,Dedicated Rail Cargo,2.0,6.0,Optimal,2026-06-25
SKU-HW-01045,100G Single-Mode Optical Transceiver v2.0,Optical Components,WH-EU-02,Rotterdam Logistics Park,EU-West,Netherlands,4078,1848,2230,1881,3064,9159,288.93,1178256.54,SUP-JP-01,Murata High-Freq Components,Japan,98.9,15,Ground Fleet Line,2.87,2.7,Optimal,2026-07-14
SKU-HW-01046,Edge AI Gateway Controller v3.0,Edge Devices,WH-US-01,California Mega-Hub,US-West,United States,174,71,103,266,425,1392,1978.5,344259.0,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,45,Ocean Freight Container,1.92,8.8,Low Stock,2026-04-18
SKU-HW-01047,100G Single-Mode Optical Transceiver v4.0,Optical Components,WH-APAC-02,Tokyo High-Tech Depot,APAC-East,Japan,4583,1186,3397,1898,3297,11365,260.56,1194146.48,SUP-JP-02,Kyocera Ceramic Packaging,Japan,98.1,16,Ocean Freight Container,0.43,8.5,Optimal,2026-01-27
SKU-HW-01048,Edge AI Gateway Controller v1.0,Edge Devices,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,1325,357,968,363,746,2781,1748.35,2316563.75,SUP-TW-01,TSMC Advanced Semiconductor,Taiwan,99.4,14,Ocean Freight Container,0.57,4.2,Optimal,2026-03-20
SKU-HW-01049,All-Flash NVMe High-IOPS Array v2.0,Storage Systems,WH-US-03,Chicago Central Depot,US-Central,United States,234,95,139,84,176,664,13918.77,3256992.18,SUP-NL-01,ASML Precision Optics Hub,Netherlands,99.1,10,Dedicated Rail Cargo,2.44,9.3,Optimal,2026-06-02
SKU-HW-01050,All-Flash NVMe High-IOPS Array v3.0,Storage Systems,WH-APAC-03,Singapore Gateway Center,APAC-South,Singapore,106,42,64,77,117,412,14237.62,1509187.72,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,24,Ground Fleet Line,2.43,14.0,Optimal,2026-01-31
SKU-HW-01051,Direct-to-Chip Liquid Cooling Manifold v4.0,Power & Cooling,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,150,38,112,91,164,433,4091.13,613669.5,SUP-KR-01,Samsung Memory Module Division,South Korea,97.2,12,Ocean Freight Container,2.08,7.7,Optimal,2026-07-12
SKU-HW-01052,Dense Wavelength Mux Transceiver v1.0,Optical Components,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,1239,375,864,565,1143,3448,816.15,1011209.85,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,13,Ocean Freight Container,1.56,10.9,Optimal,2026-03-09
SKU-HW-01053,Redundant Power Distribution Unit 3-Phase v2.0,Power & Cooling,WH-APAC-04,Sydney Tech Fulfillment,APAC-ANZ,Australia,427,197,230,226,461,1686,3328.46,1421252.42,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,44,Ground Fleet Line,0.68,5.1,Optimal,2026-03-06
SKU-HW-01054,Redundant Power Distribution Unit 3-Phase v3.0,Power & Cooling,WH-EU-03,London Distribution Gateway,EU-West,United Kingdom,282,72,210,154,312,984,2916.75,822523.5,SUP-DE-01,Siemens Industrial Automation,Germany,98.6,8,Air Priority Express,1.31,2.6,Optimal,2026-06-15
